Location,lon,lat
Adelaide,138.5999312,-34.9281805
Albany,117.883608,-35.0247822
Albury,146.9162795,-36.0804766
AliceSprings,133.8812885,-23.6983884
BadgerysCreek,150.7441627,-33.8816671
Ballarat,143.8607215,-37.5622632
Bendigo,144.2825931,-36.7588767
Brisbane,153.0234991,-27.4689682
Cairns,145.7721854,-16.9206657
Canberra,149.1012676,-35.2975906
Cobar,145.8344444,-31.4983333
CoffsHarbour,153.1135293,-30.2962407
Dartmoor,141.2766551,-37.9225444
Darwin,130.8410469,-12.46044
GoldCoast,153.4145987,-28.0023731
Hobart,147.3281233,-42.8825088
Katherine,132.2638568,-14.4642313
Launceston,147.1373496,-41.4340813
Melbourne,144.9631608,-37.8142176
MelbourneAirport,144.83348076679553,-37.667111000000006
Mildura,142.1624972,-34.1847265
Moree,149.8407153,-29.4617202
MountGambier,140.7820067624113,-37.8246698
MountGinini,148.7726345,-35.5297196
Newcastle,151.7812534,-32.9272881
Nhil,141.2833187,-35.4325283
NorahHead,151.5677778,-33.2816667
NorfolkIsland,167.9587289126371,-29.0289575
Nuriootpa,138.9939006,-34.4693354
PearceRAAF,116.01754351808195,-31.6739604
Penrith,150.6941684,-33.7510792
Perth,115.8604796,-31.9527121
PerthAirport,115.9668059888865,-31.9431218
Portland,141.6042304,-38.3456231
Richmond,142.9283602143393,-20.569655
Sale,147.0647902,-38.1050358
SalmonGums,121.6439417,-32.9815347
Sydney,151.2164539,-33.8548157
SydneyAirport,151.18196819346016,-33.9498935
Townsville,146.8239537,-19.2569391
Tuggeranong,149.0921341,-35.4209771
Uluru,131.03696147470208,-25.3455545
WaggaWagga,147.3677778,-35.115
Walpole,116.7310063,-34.9776796
Watsonia,145.083635,-37.7110022
Williamtown,151.8427778,-32.815
Witchcliffe,115.1004768,-34.0263348
Wollongong,150.89385,-34.4243941
Woomera,136.8253532,-31.1999142
